# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.110 us    |              _raw_spin_lock_irq();
   1)   0.096 us    |              __finish_swait();
   1) + 62.630 us   |            }
   1) + 62.811 us   |          }
   1)               |          __set_task_comm() {
   1)   0.127 us    |            _raw_spin_lock();
   1)   0.363 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.147 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.089 us    |                _raw_spin_lock_irqsave();
   1)   0.121 us    |                _raw_spin_lock();
   1)   0.513 us    |              }
   1)               |              update_rq_clock() {
   1)   0.141 us    |                update_rq_clock_task();
   1)   0.330 us    |              }
   1)   0.113 us    |              _raw_spin_unlock_irqrestore();
   1)   0.085 us    |              cpuset_read_unlock();
   1)   1.977 us    |            }
   1)   2.171 us    |          }
   1)   0.087 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
   1)   0.084 us    |                _raw_spin_lock_irqsave();
   1)   0.083 us    |                _raw_spin_lock();
   1)   0.417 us    |              }
   1)               |              update_rq_clock() {
   1)   0.086 us    |                update_rq_clock_task();
   1)   0.253 us    |              }
   1)   0.100 us    |              _raw_spin_unlock_irqrestore();
   1)   1.129 us    |            }
   1)   1.291 us    |          }
   1)   0.191 us    |          kfree();
   1) + 81.880 us   |        }
   1) + 82.068 us   |      }
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.085 us    |          _raw_spin_lock_irqsave();
   1)               |          select_task_rq_fair() {
   1)               |            select_idle_sibling() {
   1)   0.102 us    |              available_idle_cpu();
   1)   0.273 us    |            }
   1)   0.083 us    |            rcu_read_unlock_strict();
   1)   0.658 us    |          }
   1)               |          ttwu_queue() {
   1)               |            ttwu_queue_wakelist.part.0() {
   1)               |              __smp_call_single_queue() {
   1)               |                send_call_function_single_ipi() {
   1)               |                  native_send_call_func_single_ipi() {
   1)               |                    x2apic_send_IPI() {
   1)   8.249 us    |                      __x2apic_send_IPI_dest();
   1)   8.732 us    |                    }
   1)   8.936 us    |                  }
   1)   9.134 us    |                }
   1)   9.335 us    |              }
   1)   9.564 us    |            }
   1)   9.754 us    |          }
   1)   0.179 us    |          _raw_spin_unlock_irqrestore();
   1)   0.102 us    |          ttwu_stat();
   1) + 11.436 us   |        }
   1) + 11.594 us   |      }
   1)               |      __cond_resched() {
   1)   0.112 us    |        rcu_all_qs();
   1)   0.304 us    |      }
   1)               |      down() {
   1)   0.095 us    |        _raw_spin_lock_irqsave();
   1)   0.102 us    |        _raw_spin_unlock_irqrestore();
   1)   0.450 us    |      }
   1)               |      kthread_create_on_node() {
   1)               |        __kthread_create_on_node() {
   1)               |          kmem_cache_alloc_trace() {
   1)   0.086 us    |            should_failslab();
   1)   0.336 us    |          }
   1)   0.126 us    |          _raw_spin_lock();
   1)               |          wake_up_process() {
   1)               |            try_to_wake_up() {
   1)   0.126 us    |              _raw_spin_lock_irqsave();
   1)               |              select_task_rq_fair() {
   1)               |                select_idle_sibling() {
   1)   0.115 us    |                  available_idle_cpu();
   1)   0.294 us    |                }
   1)   0.085 us    |                rcu_read_unlock_strict();
   1)   0.676 us    |              }
   1)               |              ttwu_queue() {
   1)   0.121 us    |                ttwu_queue_wakelist.part.0();
   1)   0.082 us    |                _raw_spin_lock();
   1)               |                update_rq_clock() {
   1)   0.137 us    |                  update_rq_clock_task();
   1)   0.324 us    |                }
   1)               |                ttwu_do_activate() {
   1)               |                  activate_task() {
   1)               |                    enqueue_task_fair() {
   1)               |                      enqueue_entity() {
   1)   0.084 us    |                        update_curr();
   1)   0.088 us    |                        __update_load_avg_se();
   1)   0.109 us    |                        __update_load_avg_cfs_rq();
   1)   0.087 us    |                        update_cfs_group();
   1)   0.085 us    |                        check_spread.isra.0();
