# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.105 us    |                          rcu_read_unlock_strict();
   1)   0.944 us    |                        }
   1)   0.092 us    |                        __update_load_avg_se();
   1)   0.090 us    |                        __update_load_avg_cfs_rq();
   1)   0.087 us    |                        clear_buddies();
   1)   0.089 us    |                        update_cfs_group();
   1)   0.086 us    |                        update_min_vruntime();
   1)   2.010 us    |                      }
   1)   0.084 us    |                      hrtick_update();
   1)   2.378 us    |                    }
   1)   2.577 us    |                  }
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.084 us    |                      __msecs_to_jiffies();
   1)   0.085 us    |                      rcu_read_unlock_strict();
   1)   0.087 us    |                      nohz_newidle_balance();
   1)   0.610 us    |                    }
   1)   0.085 us    |                    try_steal();
   1)   0.091 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.193 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.084 us    |                      check_cfs_rq_runtime();
   1)   0.087 us    |                      check_spread.isra.0();
   1)   0.431 us    |                    }
   1)   0.599 us    |                  }
   1)   0.085 us    |                  pick_next_task_idle();
   1)   0.172 us    |                  __traceiter_sched_switch();
   1)   0.088 us    |                  enter_lazy_tlb();
   1)   0.347 us    |                  finish_task_switch();
   1) + 60.873 us   |                }
   1) + 61.111 us   |              }
   1)   0.107 us    |              _raw_spin_lock_irq();
   1)   0.089 us    |              __finish_swait();
   1) + 62.313 us   |            }
   1) + 62.506 us   |          }
   1)               |          __set_task_comm() {
   1)   0.131 us    |            _raw_spin_lock();
   1)   0.413 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.144 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.088 us    |                _raw_spin_lock_irqsave();
   1)   0.117 us    |                _raw_spin_lock();
   1)   0.477 us    |              }
   1)               |              update_rq_clock() {
   1)   0.146 us    |                update_rq_clock_task();
   1)   0.333 us    |              }
   1)   0.104 us    |              _raw_spin_unlock_irqrestore();
   1)   0.087 us    |              cpuset_read_unlock();
   1)   1.740 us    |            }
   1)   1.949 us    |          }
   1)   0.083 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
   1)   0.086 us    |                _raw_spin_lock_irqsave();
   1)   0.085 us    |                _raw_spin_lock();
   1)   0.418 us    |              }
   1)               |              update_rq_clock() {
   1)   0.086 us    |                update_rq_clock_task();
   1)   0.261 us    |              }
   1)   0.092 us    |              _raw_spin_unlock_irqrestore();
   1)   1.139 us    |            }
   1)   1.310 us    |          }
   1)   0.202 us    |          kfree();
   1) + 82.368 us   |        }
   1) + 82.564 us   |      }
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
