# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)               |            try_to_wake_up() {
   0)   0.109 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.121 us    |                  available_idle_cpu();
   0)   0.297 us    |                }
   0)   0.086 us    |                rcu_read_unlock_strict();
   0)   0.699 us    |              }
   0)               |              ttwu_queue() {
   0)   0.112 us    |                ttwu_queue_wakelist.part.0();
   0)   0.104 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.124 us    |                  update_rq_clock_task();
   0)   0.317 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.088 us    |                        update_curr();
   0)   0.086 us    |                        __update_load_avg_se();
   0)   0.086 us    |                        __update_load_avg_cfs_rq();
   0)   0.084 us    |                        update_cfs_group();
   0)   0.084 us    |                        check_spread.isra.0();
   0)   1.126 us    |                      }
   0)   0.093 us    |                      hrtick_update();
   0)   1.556 us    |                    }
   0)   1.767 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.907 us    |                            __x2apic_send_IPI_dest();
   0)   8.356 us    |                          }
   0)   8.543 us    |                        }
   0)   8.752 us    |                      }
   0)   8.940 us    |                    }
   0)   9.239 us    |                  }
   0) + 11.249 us   |                }
   0) + 12.216 us   |              }
   0)   0.109 us    |              _raw_spin_unlock_irqrestore();
   0)   0.085 us    |              ttwu_stat();
   0) + 14.022 us   |            }
   0) + 14.186 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.086 us    |              _raw_spin_lock_irq();
   0)   0.103 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.084 us    |                    rcu_qs();
   0)   0.253 us    |                  }
   0)   0.095 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.107 us    |                      update_irq_load_avg();
   0)   0.352 us    |                    }
   0)   0.517 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.083 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.183 us    |                            rcu_read_unlock_strict();
   0)   0.346 us    |                          }
   0)   0.105 us    |                          rcu_read_unlock_strict();
   0)   0.967 us    |                        }
   0)   0.125 us    |                        __update_load_avg_se();
   0)   0.108 us    |                        __update_load_avg_cfs_rq();
